Date,AAPL,AMAT,AMGN,CMCSA,INTC,KLAC,PCAR,CTAS,PAYX,LRCX,ADSK,ROST,MNST,MSFT,ADBE,FAST,EA,CSCO,REGN,IDXX,VRTX,BIIB,ODFL,QCOM,GILD,SNPS,SBUX,INTU,MCHP,ORLY,COST,CPRT,DLTR,ASML,ANSS,TTWO,AMZN,CTSH,CSGP,NVDA,BKNG,ON,ISRG,MRVL,ILMN,ADI,AEP,AMD,ADP,AZN,CDNS,CSX,HON,MAR,MU,XEL,EXC,PEP,ROP,TXN,MDLZ,NFLX,GOOGL,DXCM,SMCI,TMUS,LULU,MELI,KDP,AVGO,VRSK,FTNT,CHTR,TSLA,NXPI,FANG,META,PANW,WDAY,CDW,GOOG,PYPL,KHC,TEAM,CCEP,TTD,BKR,MDB,ZS,PDD,MRNA,WBD,LIN,^IXIC
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,-0.036450,-0.002803,-0.019881,0.008269,0.007328,0.001793,0.013260,-0.002035,-0.008273,-0.006485,0.012408,-0.005487,0.005702,-0.002011,-0.005218,-0.003931,-0.004950,-0.001748,-0.005508,-0.016363,-0.011378,-0.009698,0.000991,-0.016175,-0.012316,-0.002488,-0.009233,0.000672,-0.006149,-0.000783,0.003592,0.005956,0.009416,0.003730,0.010996,-0.001489,-0.014012,0.004639,-0.001084,-0.031108,-0.001091,0.001811,0.000520,-0.020594,0.003506,0.003519,0.004988,-0.013633,-0.007144,-0.009507,0.004835,-0.006371,-0.006429,0.006891,0.001706,0.013401,0.008820,0.003267,0.003258,-0.010006,0.001867,-0.006529,-0.009696,0.063242,-0.022552,-0.020368,-0.007018,-0.006347,0.004528,0.000115,0.011816,0.005155,0.026516,-0.017978,0.001059,0.012311,-0.003270,0.000571,0.004842,0.003005,-0.009850,-0.014857,0.000614,0.002377,0.000323,0.024866,0.004038,-0.030580,-0.027346,0.005231,-0.010294,-0.012970,0.004419,-0.010646
2023-09-07,-0.029686,-0.032849,0.021375,-0.002005,0.031935,-0.032239,0.003619,0.003564,-0.001497,-0.028466,-0.005370,-0.004428,0.006376,-0.008962,-0.002637,-0.009353,0.000331,-0.006494,0.008359,-0.022277,-0.001046,-0.009066,0.020757,-0.074940,-0.004049,-0.016455,-0.008898,0.004816,-0.024477,0.001079,0.003524,-0.019319,-0.006925,-0.043341,-0.007788,0.008898,0.018228,-0.000702,0.007563,-0.017578,-0.012094,-0.009899,-0.035108,-0.002295,-0.007151,-0.020631,0.012490,-0.024924,-0.003711,0.014815,-0.021469,-0.008105,-0.002116,-0.012678,-0.007699,0.004604,0.017656,0.009512,-0.001334,-0.020075,0.004438,-0.005895,0.005932,-0.018604,-0.024193,0.023213,-0.000025,0.007253,0.003308,-0.017626,0.006917,0.014992,-0.007169,-0.001708,-0.018359,-0.007911,-0.001673,0.000938,0.008259,-0.001783,0.006113,-0.018482,0.003372,0.002516,-0.011358,0.010013,-0.000538,-0.012424,0.016721,-0.050263,0.001016,-0.040858,0.008650,-0.008953
2023-09-08,0.003486,-0.004734,0.019618,0.004228,-0.004463,0.001106,0.017427,-0.004775,0.002908,-0.011623,-0.008269,-0.000503,-0.004778,0.013129,-0.000179,-0.015112,0.006675,-0.002115,0.006558,-0.024222,-0.002649,-0.009033,-0.026934,-0.002447,0.027479,0.002290,0.001891,-0.005525,-0.004054,0.013182,0.004674,0.002016,-0.004644,-0.015692,-0.013053,0.003790,0.002753,0.001262,-0.012636,-0.014573,0.012695,-0.006007,0.003359,-0.014958,-0.003089,-0.005563,0.005159,-0.004702,-0.003003,0.003230,-0.014475,0.015478,0.002170,0.027536,0.004427,0.008270,0.000247,-0.000737,-0.005741,-0.000304,-0.002575,-0.000768,0.008246,-0.005352,0.048099,0.002546,-0.006613,-0.005697,0.001500,0.000606,-0.003187,0.014147,0.012962,-0.011960,-0.004717,0.007462,-0.002615,0.013356,0.000639,-0.001081,0.007315,-0.010927,0.008531,-0.001548,0.000816,-0.004994,-0.006743,-0.000662,-0.001554,-0.013233,-0.006574,0.025952,0.000491,0.000923
2023-09-11,0.006601,-0.005574,0.008788,0.005095,0.015144,-0.007198,0.008366,0.005478,-0.005407,-0.007805,-0.002055,-0.008160,0.007247,0.010919,0.007361,0.001650,0.006386,0.002995,0.003413,0.012205,0.012082,-0.000270,0.011307,0.038264,0.013591,0.005820,0.004085,-0.002291,0.008595,-0.016688,0.013676,0.006913,-0.000604,-0.000239,0.002066,0.018116,0.034625,-0.000140,-0.001940,-0.008683,0.012514,-0.000715,0.013754,0.010352,-0.023060,0.001014,0.000772,-0.007284,-0.004703,-0.024033,0.021820,0.007650,0.009117,-0.006299,-0.002140,0.006288,0.000000,0.014978,0.012837,0.007141,0.021957,0.005765,0.003952,0.027785,-0.011972,0.018929,0.002721,-0.003690,0.005083,0.001852,0.002575,0.015487,0.031275,0.096151,0.002214,-0.022490,0.031946,0.017534,0.006284,-0.006841,0.003928,0.015459,0.020124,0.035332,0.016976,0.030985,-0.005700,0.044047,0.026274,0.021377,-0.017242,0.022708,0.006545,0.011298
2023-09-12,-0.017208,-0.018853,-0.005402,-0.001548,0.006972,-0.017062,0.000000,0.027616,-0.001085,-0.016682,-0.032241,0.000084,-0.011157,-0.018426,-0.040287,-0.001466,-0.009100,-0.007948,-0.000912,-0.002952,-0.001932,-0.001856,-0.009883,0.008578,-0.003120,-0.016285,0.005940,-0.006026,-0.013813,-0.019532,0.000018,-0.017485,-0.015908,-0.014296,-0.007648,-0.015179,-0.013154,-0.016966,-0.007919,-0.006841,-0.002911,-0.010892,-0.002650,-0.011968,-0.028313,-0.014744,0.000257,-0.000095,-0.000725,0.011050,-0.028270,0.013494,0.015982,-0.001765,0.003990,-0.003838,-0.000493,-0.003695,-0.008411,-0.014272,-0.004353,-0.024250,-0.011607,-0.022909,-0.035380,-0.001070,-0.023729,-0.016860,-0.008085,-0.017163,-0.002002,-0.024424,0.001765,-0.022549,-0.019852,0.024283,-0.019370,-0.029709,-0.017923,-0.010853,-0.012198,0.014110,-0.002084,-0.013216,-0.009989,-0.008472,0.009751,-0.051283,-0.029701,0.015081,-0.005307,-0.021825,-0.003680,-0.010421
2023-09-13,-0.011926,0.004228,-0.011903,0.000000,-0.003868,-0.004539,-0.023028,0.005845,-0.003848,0.009090,0.002169,-0.013434,0.006568,0.012848,0.020717,0.003296,0.002139,-0.001953,-0.007860,-0.025486,0.000836,-0.009838,-0.014590,0.012597,0.006619,0.027140,0.007144,-0.007445,0.003821,0.002787,0.001734,0.002033,-0.012166,-0.002832,-0.004232,0.008138,0.025309,0.008095,-0.008845,0.013613,-0.018378,0.000413,0.003806,-0.000899,0.002258,0.006378,0.019218,0.022534,-0.000847,-0.013305,0.019557,-0.002946,0.012500,-0.017672,0.007651,0.015953,0.013955,0.007878,0.003619,0.005307,0.003232,-0.053027,0.010072,0.003427,0.012179,0.009872,0.002188,-0.001201,-0.003916,0.009909,0.004244,-0.013955,0.006370,0.014180,0.004501,-0.003332,0.011208,0.002276,-0.010306,-0.002924,0.010454,0.000477,-0.011086,-0.011092,0.005007,-0.005493,-0.023453,-0.008661,-0.011424,-0.006290,0.031336,0.007036,-0.007166,0.002898
2023-09-14,0.008744,-0.000069,0.019518,0.017113,-0.001034,-0.007680,0.030626,0.016549,-0.003022,-0.003391,0.020564,0.008354,0.006173,0.007825,-0.002532,0.002191,0.011115,0.001598,0.007392,0.008236,0.007411,0.001601,-0.021296,0.012352,0.000647,-0.001522,0.002370,0.010371,0.017140,0.014811,0.008910,0.012113,0.005308,0.007829,0.021296,0.000277,-0.000898,0.003812,-0.004700,0.002108,0.025953,-0.003725,0.003430,0.004307,-0.001859,0.019672,0.015882,-0.010078,0.001935,0.019817,0.006984,0.017550,0.010230,0.019682,0.013180,0.009417,0.017115,0.008589,0.007920,0.010230,0.015174,-0.028917,0.010116,-0.035502,-0.000701,0.011384,-0.000592,-0.010090,0.016168,0.021699,0.011861,0.007636,0.022436,0.017321,0.011362,0.013580,0.021597,-0.001910,-0.000449,0.006984,0.010778,0.025143,0.017324,0.002438,0.016775,0.000469,0.012068,-0.014703,0.005226,0.008210,0.038126,0.027659,0.012001,0.008108
2023-09-15,-0.004163,-0.044700,-0.006042,-0.013799,-0.020641,-0.054996,-0.007598,-0.015986,-0.025288,-0.052093,-0.015441,0.003136,-0.012919,-0.025356,-0.043057,0.007270,-0.021192,-0.005871,-0.010847,-0.024958,-0.001489,-0.005987,0.006417,-0.007923,-0.022088,-0.030980,-0.009618,-0.017538,-0.030448,-0.011193,-0.015003,-0.021865,-0.008773,-0.041432,-0.023096,-0.010372,-0.030377,-0.011336,-0.019277,-0.037577,-0.011769,-0.035558,-0.027368,-0.024473,-0.029263,-0.008552,-0.006972,-0.049405,-0.012075,0.007203,-0.036658,-0.006140,-0.002690,-0.005155,-0.026966,-0.012173,-0.004551,-0.007699,-0.007255,-0.020873,-0.006098,-0.008904,-0.005082,-0.052564,-0.082773,-0.008349,0.003057,0.009518,-0.011050,-0.023166,-0.011495,-0.033519,-0.003165,-0.005995,-0.026547,-0.013836,-0.037290,-0.023128,-0.017369,-0.013388,-0.004977,-0.003576,-0.009521,-0.030893,-0.008272,-0.023586,-0.014278,-0.010411,-0.019853,0.003929,0.015656,0.009334,-0.004654,-0.015757
2023-09-18,0.016772,0.014506,0.009277,0.006595,0.002900,0.005029,0.012478,-0.000680,0.002927,0.019925,0.000796,-0.004240,0.002313,-0.003519,0.006652,-0.005630,0.001162,0.001248,0.001347,-0.000932,0.008846,-0.005865,0.000586,-0.003453,-0.000661,0.017721,0.005493,-0.005722,0.004114,-0.000925,0.011367,0.012456,-0.014073,0.001792,0.003855,-0.011117,-0.002925,0.000712,0.007555,0.001502,-0.000576,0.015983,0.008860,0.005308,-0.025923,0.008830,0.002371,0.008633,0.007999,-0.024315,0.011680,0.008071,0.007329,-0.012282,0.008833,0.000345,-0.003849,-0.002561,0.006734,0.001291,-0.001113,-0.006420,0.005878,-0.010958,-0.020100,-0.007922,-0.018428,-0.009301,0.010456,-0.001975,0.002318,-0.009385,0.017219,-0.033765,0.009630,0.003269,0.007431,-0.001291,0.014304,0.008131,0.004761,-0.019977,-0.000897,0.009071,0.009064,-0.032546,0.008262,-0.015557,-0.008880,0.003513,-0.095624,-0.015319,-0.001186,0.000139
