Date,Cash,Manual,Strategic,Algorithmic,Cash+Strategic,Total
09/04/2024,13658.25,25672.75,28497.53,32348.18,42155.78,100176.70999999999
09/05/2024,20871.87,25448.59,21178.96,32187.22,42050.83,99686.64
09/06/2024,19454.97,24870.22,22259.29,30474.54,41714.26,97059.02000000002
09/07/2024,19456.04,24870.22,22259.29,30474.54,41715.33,97060.09
09/08/2024,19457.11,24870.22,22259.29,30474.54,41716.4,97061.16
09/09/2024,15123.94,25193.91,26864.81,31278.42,41988.75,98461.08
09/10/2024,18035.41,25324.25,24008.75,31883.99,42044.16,99252.40000000001
09/11/2024,19507.26,25755.34,22746.6,33738.61,42253.86,101747.81
09/12/2024,16770.77,25948.8,25523.21,34032.68,42293.979999999996,102275.45999999999
09/13/2024,16609.6,26125.67,25889.4,34143.95,42499,102768.62
09/14/2024,16610.51,26125.67,25889.4,34143.95,42499.91,102769.52999999998
09/15/2024,16611.42,26125.67,25889.4,34143.95,42500.82,102770.43999999999
09/16/2024,19660.92,26116.99,22949.25,33398.64,42610.17,102125.8
09/17/2024,18030.23,25961.93,24616.07,33094.94,42646.3,101703.17000000001
09/18/2024,21309.44,25713.82,21345.47,32681.2,42654.91,101049.93
09/19/2024,15169.59,26156.97,27836.57,34281.79,43006.16,103444.92000000001
09/20/2024,19669.13,26029.95,23043.54,33645.47,42712.67,102388.09
09/21/2024,19670.21,26029.95,23043.54,33645.47,42713.75,102389.17000000001
09/22/2024,19671.29,26029.95,23043.54,33645.47,42714.83,102390.25
09/23/2024,16481.96,26007.81,26191.01,33683.58,42672.97,102364.36
09/24/2024,18024.91,26017.25,24586.22,34345.66,42611.130000000005,102974.04000000001
09/25/2024,18025.9,26023.52,24437.53,34671.68,42463.43,103158.63
09/26/2024,15174.03,26212.36,27554.27,34632.83,42728.3,103573.49
09/27/2024,19836.06,26015.31,22918.74,34070.58,42754.8,102840.69
09/28/2024,19837.15,26015.31,22918.74,34070.58,42755.89,102841.78000000001
09/29/2024,19838.24,26015.31,22918.74,34070.58,42756.98,102842.87000000001
09/30/2024,18068.27,26089.49,24646.62,34123.72,42714.89,102928.1
10/01/2024,18069.26,25803.52,24455.04,33099.45,42524.3,101427.27
10/02/2024,15036.87,25946.28,27434.02,33663.86,42470.89,102081.03
10/03/2024,16587.42,25832,25744.4,34070.25,42331.82,102234.07
10/04/2024,15309.62,26023.37,27298.7,34895.94,42608.32,103527.63
10/05/2024,15310.46,26023.37,27298.7,34895.94,42609.16,103528.47
10/06/2024,15311.3,26023.37,27298.7,34895.94,42610,103529.31
10/07/2024,18349.63,25773.36,24077.35,35114.14,42426.979999999996,103314.48
10/08/2024,15412.29,26116.72,27078.64,35718.07,42490.93,104325.72
10/09/2024,13759.08,26398.31,29015.09,36144.2,42774.17,105316.68
10/10/2024,18255.4,26285.57,24541.54,36213.07,42796.94,105295.58000000002
10/11/2024,13692.07,26410.89,29433.06,36030.93,43125.130000000005,105566.95000000001
10/12/2024,13692.82,26410.89,29433.06,36030.93,43125.880000000005,105567.70000000001
10/13/2024,13693.57,26410.89,29433.06,36030.93,43126.630000000005,105568.45000000001
10/14/2024,20057.48,26668.95,23221.33,36688.24,43278.81,106636
10/15/2024,20014.08,26225.77,23127.93,34164.98,43142.01,103532.76000000001
10/16/2024,19666.84,26209.4,23462.92,34342.9,43129.759999999995,103682.06
10/17/2024,24603.64,26230.41,18394.68,34209,42998.32,103437.73000000001
10/18/2024,15551.97,26543.36,27515.55,34426.16,43067.52,104037.04000000001
10/19/2024,15552.82,26543.36,27515.55,34426.16,43068.369999999995,104037.89
10/20/2024,15553.67,26543.36,27515.55,34426.16,43069.22,104038.74
10/21/2024,17102.32,26475.17,25778.98,35099.87,42881.3,104456.34
10/22/2024,13819.72,26486.9,29072.94,35098.49,42892.659999999996,104478.04999999999
10/23/2024,15539,26162.26,27221.46,34445.21,42760.46,103367.93
10/24/2024,15437.64,26223.72,27252.89,35181.71,42690.53,104095.95999999999
10/25/2024,13787.52,26238.79,28912.65,35583.54,42700.17,104522.5
10/26/2024,13788.28,26238.79,28912.65,35583.54,42700.93,104523.26000000001
10/27/2024,13789.04,26238.79,28912.65,35583.54,42701.69,104524.02000000002
