Date,Cash,Manual,Strategic,Algorithmic,Cash+Strategic,Total
09/04/2024,14401.17,25672.75,27637.82,32348.18,42038.99,100059.91999999998
09/05/2024,18274.32,25448.59,23529.97,32187.22,41804.29,99440.1
09/06/2024,19740.97,24870.22,21697.4,30474.54,41438.37,96783.13
09/07/2024,19742.05,24870.22,21697.4,30474.54,41439.45,96784.21000000002
09/08/2024,19743.13,24870.22,21697.4,30474.54,41440.53,96785.29000000001
09/09/2024,14455.3,25193.91,27189.74,31278.42,41645.04,98117.37
09/10/2024,17366.73,25324.25,24278.57,31883.99,41645.3,98853.54
09/11/2024,18824.68,25755.34,23052.99,33738.61,41877.67,101371.62000000001
09/12/2024,17318.23,25948.8,24764.72,34032.68,42082.95,102064.43
09/13/2024,15872.08,26125.67,26441.27,34143.95,42313.35,102582.97
09/14/2024,15872.95,26125.67,26441.27,34143.95,42314.22,102583.84
09/15/2024,15873.82,26125.67,26441.27,34143.95,42315.09,102584.70999999999
09/16/2024,18829.97,26116.99,23433.05,33398.64,42263.020000000004,101778.65000000001
09/17/2024,18665.54,25961.93,23551.44,33094.94,42216.979999999996,101273.85
09/18/2024,20367.33,25713.82,21733.37,32681.2,42100.7,100495.72
09/19/2024,16016.91,26156.97,26450.8,34281.79,42467.71,102906.47
09/20/2024,20400.06,26029.95,21840.92,33645.47,42240.979999999996,101916.4
09/21/2024,20401.18,26029.95,21840.92,33645.47,42242.1,101917.52
09/22/2024,20402.3,26029.95,21840.92,33645.47,42243.22,101918.64
09/23/2024,20228.66,26007.81,21977.15,33683.58,42205.81,101897.2
09/24/2024,17303.53,26017.25,24883.68,34345.66,42187.21,102550.12
09/25/2024,17304.48,26023.52,24787.76,34671.68,42092.24,102787.44
09/26/2024,17259.78,26212.36,25164.21,34632.83,42423.99,103269.18000000001
09/27/2024,21438.64,26015.31,20951.97,34070.58,42390.61,102476.5
09/28/2024,21439.81,26015.31,20951.97,34070.58,42391.78,102477.67
09/29/2024,21440.98,26015.31,20951.97,34070.58,42392.95,102478.84000000001
09/30/2024,18790.11,26089.49,23652.35,34123.72,42442.46,102655.67000000001
10/01/2024,20334.12,25803.52,21970.27,33099.45,42304.39,101207.36
10/02/2024,18595.06,25946.28,23745.55,33663.86,42340.61,101950.75
10/03/2024,20111.22,25832,22049.74,34070.25,42160.96000000001,102063.21
10/04/2024,15910.54,26023.37,26413.77,34895.94,42324.31,103243.62000000001
10/05/2024,15911.41,26023.37,26413.77,34895.94,42325.18,103244.49
10/06/2024,15912.28,26023.37,26413.77,34895.94,42326.05,103245.36
10/07/2024,17457.94,25773.36,24668.67,35114.14,42126.61,103014.11
10/08/2024,15979.4,26116.72,26395.08,35718.07,42374.48,104209.27000000002
10/09/2024,14423.64,26398.31,28226.35,36144.2,42649.99,105192.49999999999
10/10/2024,24553.02,26285.57,17984.67,36213.07,42537.69,105036.32999999999
10/11/2024,14348.83,26410.89,28333.23,36030.93,42682.06,105123.88
10/12/2024,14349.62,26410.89,28333.23,36030.93,42682.85,105124.67000000001
10/13/2024,14350.41,26410.89,28333.23,36030.93,42683.64,105125.45999999999
10/14/2024,15728.45,26668.95,27314.64,36688.24,43043.09,106400.28
10/15/2024,19990.6,26225.77,22758.31,34164.98,42748.91,103139.66
10/16/2024,17183.12,26209.4,25609.97,34342.9,42793.09,103345.39000000001
10/17/2024,20424.86,26230.41,22231.92,34209,42656.78,103096.19
10/18/2024,19186.02,26543.36,23714.89,34426.16,42900.91,103870.43000000001
10/19/2024,19187.07,26543.36,23714.89,34426.16,42901.96,103871.48000000001
10/20/2024,19188.12,26543.36,23714.89,34426.16,42903.009999999995,103872.53
10/21/2024,20671.55,26475.17,22040.35,35099.87,42711.899999999994,104286.94
10/22/2024,18753.73,26486.9,23924.09,35098.49,42677.82,104263.20999999999
10/23/2024,20473.28,26162.26,21994.04,34445.21,42467.32,103074.78999999998
10/24/2024,15981.26,26223.72,26505.65,35181.71,42486.91,103892.34
10/25/2024,15982.14,26238.79,26583.62,35583.54,42565.759999999995,104388.09
10/26/2024,15983.02,26238.79,26583.62,35583.54,42566.64,104388.97
10/27/2024,15983.9,26238.79,26583.62,35583.54,42567.52,104389.85
